company_id,scope
706d84ce-0441-43ab-b150-8d2a4ae0cda6,Big Data and Analytics
706d84ce-0441-43ab-b150-8d2a4ae0cda6,Cloud
338ed983-8d73-4b08-8326-e2c13660f98e,Big Data and Analytics
338ed983-8d73-4b08-8326-e2c13660f98e,Mobility
338ed983-8d73-4b08-8326-e2c13660f98e,Robotics
338ed983-8d73-4b08-8326-e2c13660f98e,Cloud
338ed983-8d73-4b08-8326-e2c13660f98e,AI
338ed983-8d73-4b08-8326-e2c13660f98e,IoT
c95e9324-0be4-417f-aac9-9bcde022b21e,Mobility
c95e9324-0be4-417f-aac9-9bcde022b21e,Cloud
c95e9324-0be4-417f-aac9-9bcde022b21e,Security
93d9da59-242e-4edc-b8d6-c1c7997e2e6f,Security
93d9da59-242e-4edc-b8d6-c1c7997e2e6f,Social
93d9da59-242e-4edc-b8d6-c1c7997e2e6f,Big Data and Analytics
93d9da59-242e-4edc-b8d6-c1c7997e2e6f,Cloud
93d9da59-242e-4edc-b8d6-c1c7997e2e6f,IoT
